Gene Symbol,gene description from mart,GO from mart,GO from mart,ENTREZ GENE ID,biological process,Fold change
Os01g0111800,Conserved hypothetical protein,GO:0016021,integral component of membrane,4327377,response to lipid,3.149867659
Os01g0111900,Glutelin family protein,,,4327379,response to lipid,-1.537915589
Os01g0112000,Conserved hypothetical protein,,,,response to lipid,2.21472732
Os01g0112100,Conserved hypothetical protein,,,4333582,response to lipid,1.993478077
Os01g0112100,Conserved hypothetical protein,,,9267181,response to lipid,-1.15735818
Os01g0112100,Conserved hypothetical protein,,,4341725,response to lipid,1.117510755
Os01g0112300,,,,4334695,response to lipid,3.250842529
Os01g0112300,Hypothetical conserved gene,,,4344547,response to lipid,1.104343922
Os01g0112400,Major intrinsic protein family protein,GO:0055085,transmembrane transport,4333108,response to lipid,3.868536357
Os01g0112500,Similar to Plakoglobin/armadillo/beta-catenin-like protein (Fragment),GO:0005634,nucleus,4327502,response to lipid,5.335881704
Os01g0113150,Disease resistance protein domain containing protein,GO:0043531,ADP binding,,response to lipid,4.296962008
Os01g0113200,Similar to Receptor serine/threonine kinase,GO:0030247,polysaccharide binding,,response to lipid,-1.0899305
Os01g0113300,,,,4331543,response to lipid,0.321353917
Os01g0113300,Similar to ARK protein (Fragment),GO:0030247,polysaccharide binding,4331544,response to lipid,1.363199711
Os01g0113400,Similar to Receptor-like kinase,GO:0005524,ATP binding,4333805,response to lipid,2.153850023
Os01g0113400,Similar to Receptor-like kinase,GO:0030247,polysaccharide binding,4333806,response to lipid,4.096090388
Os01g0113400,Hypothetical protein,,,4334668,response to lipid,1.892605539
Os01g0113450,Hypothetical conserved gene,GO:0031625,ubiquitin protein ligase binding,9268727,response to lipid,-2.498483501
Os01g0113450,Hypothetical conserved gene,GO:0031625,ubiquitin protein ligase binding,9268727,response to lipid,2.43078882
Os01g0113500,Hypothetical protein,,,4334667,response to lipid,2.921075314
Os01g0113500,Similar to Receptor-like kinase,GO:0004672,protein kinase activity,,response to lipid,4.683542816
Os01g0113500,Similar to Receptor-like kinase,GO:0004672,protein kinase activity,,response to lipid,1.310887019
Os01g0113650,Hypothetical conserved gene,GO:0031625,ubiquitin protein ligase binding,4334669,response to lipid,1.650489722
Os01g0113700,Similar to Receptor-like kinase,GO:0030247,polysaccharide binding,,response to lipid,6.734147235
Os01g0113800,"Protein kinase, core domain containing protein",GO:0030247,polysaccharide binding,9267194,response to lipid,7.215327682
Os01g0113900,Similar to Receptor-like protein kinase,GO:0030247,polysaccharide binding,4341395,response to lipid,5.771744927
Os01g0114100,Similar to Protein kinase RLK17,GO:0030247,polysaccharide binding,4327976,response to lipid,5.098451969
Os01g0114100,,,,4349144,response to lipid,7.469089495
Os01g0114200,Similar to Receptor-like kinase,GO:0004672,protein kinase activity,4337490,response to lipid,7.518457704
Os01g0114200,Conserved hypothetical protein,,,4342318,response to alcohol,2.659239913
Os01g0114300,Similar to Receptor-like protein kinase (Fragment),,,4328550,response to alcohol,1.697056771
Os01g0114300,Similar to Receptor-like protein kinase,GO:0030247,polysaccharide binding,4328551,response to alcohol,4.284311765
Os01g0114600,"Protein kinase, core domain containing protein",GO:0030247,polysaccharide binding,4347237,response to alcohol,2.20815339
Os01g0114700,Similar to Receptor-like kinase,GO:0030247,polysaccharide binding,,response to alcohol,3.149867659
Os01g0114800,Similar to H0215A08.3 protein,,,4333963,response to alcohol,-1.537915589
Os01g0114800,Similar to H0215A08.3 protein,,,4333963,response to alcohol,2.21472732
Os01g0114900,Similar to LRK14,GO:0004672,protein kinase activity,,response to alcohol,1.993478077
Os01g0115300,Hypothetical gene,,,4334913,response to alcohol,-1.15735818
Os01g0115500,Similar to Receptor-like kinase,GO:0005524,ATP binding,,response to alcohol,1.117510755
Os01g0115600,,,,4324162,response to alcohol,3.250842529
Os01g0115700,Similar to Receptor-like kinase,GO:0030247,polysaccharide binding,4336017,response to alcohol,1.104343922
Os01g0115750,Similar to Receptor-like protein kinase,GO:0030247,polysaccharide binding,4349262,response to alcohol,3.868536357
Os01g0115800,Similar to Receptor-like kinase,GO:0030247,polysaccharide binding,4338977,response to alcohol,5.335881704
Os01g0116000,Similar to Receptor-like protein kinase,GO:0030247,polysaccharide binding,,response to alcohol,4.296962008
Os01g0116000,,,,,response to alcohol,-1.0899305
Os01g0116200,"Protein kinase, core domain containing protein",GO:0030247,polysaccharide binding,9270221,response to alcohol,0.321353917
Os01g0116400,Similar to Receptor-like protein kinase,GO:0030247,polysaccharide binding,4347236,response to alcohol,1.363199711
Os01g0116600,"Eukaryotic translation elongation factor 1 alpha (eEF1A)-like protein, Negative regulation of cell death, Defense respons",GO:0005525,GTP binding,4347251,response to alcohol,2.153850023
Os01g0116800,Similar to Receptor-like kinase,GO:0005524,ATP binding,,response to alcohol,4.096090388
Os01g0116900,"Protein kinase, catalytic domain domain containing protein",GO:0030247,polysaccharide binding,,response to alcohol,1.892605539
Os01g0117100,,,,4337067,response to alcohol,2.43078882
Os01g0117100,,,,,response to alcohol,2.921075314
Os01g0117100,Similar to LRK14,GO:0004672,protein kinase activity,,response to alcohol,4.683542816
Os01g0117200,Similar to ARK protein (Fragment),GO:0030247,polysaccharide binding,4336015,response to alcohol,1.310887019
Os01g0117200,Similar to ARK protein (Fragment),GO:0030247,polysaccharide binding,,response to alcohol,6.734147235
Os01g0117300,Similar to Receptor kinase LRK10,GO:0005524,ATP binding,,response to alcohol,7.215327682
Os01g0117300,Similar to Receptor kinase LRK10,GO:0005524,ATP binding,,response to alcohol,5.771744927
Os01g0117400,Similar to Receptor-like kinase,GO:0004672,protein kinase activity,4334257,response to alcohol,5.098451969
Os01g0117600,"Protein kinase, catalytic domain domain containing protein",GO:0030247,polysaccharide binding,4334256,response to alcohol,7.469089495
Os01g0117600,Similar to Receptor-like kinase,GO:0004672,protein kinase activity,4334258,response to alcohol,7.518457704
Os01g0117700,Similar to LRK14,GO:0004672,protein kinase activity,,response to oxygen containing compound,1.789689657
Os01g0117800,,,,4336015,response to oxygen containing compound,2.659239913
Os01g0117900,,,,4325134,response to oxygen containing compound,1.697056771
Os01g0117900,Similar to nodulin-like protein,GO:0022857,transmembrane transporter activity,9271701,response to oxygen containing compound,4.284311765
Os01g0118000,Similar to Fructose-bisphosphate aldolase (EC 4.1.2.13) (Fragment),GO:0004332,fructose-bisphosphate aldolase activity,4328567,response to oxygen containing compound,2.20815339
Os01g0118100,Similar to Fructose-bisphosphate aldolase,GO:0004386,helicase activity,9267394,response to oxygen containing compound,1.901698589
Os01g0118300,Similar to Phosphatidyl serine synthase,GO:0006659,phosphatidylserine biosynthetic process,4340909,response to oxygen containing compound,2.273013695
Os01g0118400,Similar to HGA6,GO:0016757,"transferase activity, transferring glycosyl groups",,response to oxygen containing compound,3.149867659
Os01g0118600,Similar to Hga5 protein,GO:0016757,"transferase activity, transferring glycosyl groups",4349264,response to oxygen containing compound,-1.537915589
Os01g0118700,Similar to HGA4,GO:0016757,"transferase activity, transferring glycosyl groups",4333985,response to oxygen containing compound,2.21472732
Os01g0119000,"Glycosyltransferase AER61, uncharacterized domain containing protein",GO:0016757,"transferase activity, transferring glycosyl groups",,response to oxygen containing compound,1.993478077
Os01g0119100,Similar to Glycosyltransferase,GO:0016757,"transferase activity, transferring glycosyl groups",4325882,response to oxygen containing compound,-1.15735818
Os01g0119500,Protein of unknown function DUF1618 domain containing protein,,,,response to oxygen containing compound,1.117510755
Os01g0119500,,,,4333294,response to oxygen containing compound,3.250842529
Os01g0119500,,,,4333295,response to oxygen containing compound,3.814968017
Os01g0120300,Similar to EMB2369 (EMBRYO DEFECTIVE 2369); ATP binding / aminoacyl-tRNA ligase/ leucine-tRNA ligase/ nucleotide binding,GO:0002161,aminoacyl-tRNA editing activity,4327122,response to oxygen containing compound,1.104343922
Os01g0120400,"Alanyl-tRNA synthetase, class IIc family protein",GO:0006419,alanyl-tRNA aminoacylation,4334852,response to oxygen containing compound,3.597576496
Os01g0120500,"Similar to PAP fibrillin domain containing protein,expressed",,,4327132,response to oxygen containing compound,-1.743843876
Os01g0120600,"Similar to Oxidoreductase NAD-binding domain containing protein, expressed",GO:0016491,oxidoreductase activity,,response to oxygen containing compound,3.868536357
Os01g0120700,Similar to sarcoplasmic reticulum histidine-rich calcium-binding protein,,,9272437,response to oxygen containing compound,4.761639719
Os01g0120800,Similar to Eukaryotic translation initiation factor 3 subunit 10 (eIF-3 theta) (Eukaryotic translation initiation factor 3 large subunit) (eIF3a),GO:0003743,translation initiation factor activity,,response to oxygen containing compound,5.335881704
Os01g0120800,Similar to Eukaryotic translation initiation factor 3 subunit 10 (eIF-3 theta) (Eukaryotic translation initiation factor 3 large subunit) (eIF3a),GO:0003743,translation initiation factor activity,4332450,response to oxygen containing compound,4.296962008
Os01g0120800,Similar to Eukaryotic translation initiation factor 3 subunit 10 (eIF-3 theta) (Eukaryotic translation initiation factor 3 large subunit) (eIF3a),GO:0003743,translation initiation factor activity,9268581,response to oxygen containing compound,-1.0899305
Os01g0120900,Conserved hypothetical protein,,,4345271,response to oxygen containing compound,0.321353917
Os01g0121100,Similar to SLL2,GO:0008168,methyltransferase activity,4323899,response to oxygen containing compound,1.363199711
Os01g0121100,Similar to SLL2,GO:0008168,methyltransferase activity,4336013,response to oxygen containing compound,2.153850023
Os01g0121200,,,,4330174,response to oxygen containing compound,4.096090388
Os01g0121200,"Zinc finger, RING/FYVE/PHD-type domain containing protein",GO:0008270,zinc ion binding,4332907,response to oxygen containing compound,1.892605539
Os01g0121300,Conserved hypothetical protein,GO:0016021,integral component of membrane,4337785,response to oxygen containing compound,-2.498483501
Os01g0121500,Conserved hypothetical protein,GO:0016021,integral component of membrane,4343738,response to oxygen containing compound,2.43078882
Os01g0121500,,,,,response to oxygen containing compound,2.921075314
Os01g0121600,Conserved hypothetical protein,,,4327285,response to oxygen containing compound,3.100435228
Os01g0121700,,,,4336012,response to oxygen containing compound,4.683542816
Os01g0121800,"Glycosyl transferase, family 14 protein",GO:0008375,acetylglucosaminyltransferase activity,4346367,response to oxygen containing compound,4.61922132
Os01g0121950,Hypothetical conserved gene,GO:0006511,ubiquitin-dependent protein catabolic process,9270011,response to oxygen containing compound,1.310887019
Os01g0121950,Hypothetical conserved gene,GO:0006511,ubiquitin-dependent protein catabolic process,4349267,response to oxygen containing compound,1.650489722
Os01g0122000,Conserved hypothetical protein,GO:0006511,ubiquitin-dependent protein catabolic process,4332808,response to oxygen containing compound,6.734147235
Os01g0122000,Conserved hypothetical protein,GO:0006511,ubiquitin-dependent protein catabolic process,4332809,response to oxygen containing compound,-1.566133395
Os01g0122200,Seven In Absentia Homolog-type domain containing protein,GO:0006511,ubiquitin-dependent protein catabolic process,4333043,response to oxygen containing compound,-2.187968652
Os01g0122200,,,,4349161,response to oxygen containing compound,1.946849919
Os01g0122701,Conserved hypothetical protein,GO:0006511,ubiquitin-dependent protein catabolic process,,response to oxygen containing compound,7.215327682
Os01g0123500,Conserved hypothetical protein,GO:0006511,ubiquitin-dependent protein catabolic process,,response to oxygen containing compound,5.771744927
Os01g0123700,"Zinc finger, RING-type domain containing protein",GO:0006511,ubiquitin-dependent protein catabolic process,,response to oxygen containing compound,5.098451969
Os01g0123800,"Seven-in-absentia protein, sina domain containing protein",GO:0006511,ubiquitin-dependent protein catabolic process,,response to oxygen containing compound,7.469089495
Os01g0123900,Similar to Bowman-Birk type proteinase inhibitor (EBI),GO:0005576,extracellular region,4333328,response to oxygen containing compound,7.518457704
Os01g0124000,Similar to Bowman Birk trypsin inhibitor,GO:0005576,extracellular region,9270742,single organism process,1.789689657
Os01g0124000,Similar to Bowman Birk trypsin inhibitor,GO:0005576,extracellular region,4333329,single organism process,1.271964353
Os01g0124100,,,,4328464,single organism process,1.642851714
Os01g0124200,Similar to Bowman Birk trypsin inhibitor,GO:0005576,extracellular region,4336522,single organism process,-1.919567408
Os01g0124401,Similar to Bowman-Birk type bran trypsin inhibitor,GO:0005576,extracellular region,4334716,single organism process,-1.247141436
Os01g0124550,,,,4349139,single organism process,1.244407898
Os01g0124550,,,,4349140,single organism process,-2.550510845
Os01g0124600,"Similar to cDNA clone:001-125-E08, full insert sequence",GO:0005576,extracellular region,,single organism process,1.475972297
Os01g0124700,Hypothetical conserved gene,GO:0005576,extracellular region,4329479,single organism process,3.064836956
Os01g0124700,Hypothetical protein,,,4329480,single organism process,-2.909134325
Os01g0124900,"Seven-in-absentia protein, sina domain containing protein",GO:0006511,ubiquitin-dependent protein catabolic process,4349270,single organism process,-1.131866006
Os01g0125500,"Seven-in-absentia protein, sina domain containing protein",GO:0006511,ubiquitin-dependent protein catabolic process,,single organism process,1.786854262
Os01g0125500,"Seven-in-absentia protein, sina domain containing protein",GO:0006511,ubiquitin-dependent protein catabolic process,,single organism process,2.659239913
Os01g0125550,Conserved hypothetical protein,,,,single organism process,0.710987695
Os01g0125550,Conserved hypothetical protein,,,,single organism process,2.969616809
Os01g0125600,Heavy metal transport/detoxification protein domain containing protein,GO:0030001,metal ion transport,4348612,single organism process,-2.09527536
Os01g0125700,Conserved hypothetical protein,,,,single organism process,-3.161353679
Os01g0125700,,,,4336009,single organism process,3.748201971
Os01g0125700,,,,4336010,single organism process,-1.059687481
Os01g0125800,"Actin-interacting, WD40-repeat protein, Actin turnove",GO:0030042,actin filament depolymerization,4328571,single organism process,-1.337255305
Os01g0125900,,,,4348634,single organism process,3.141656679
Os01g0125900,Ubiquitin-conjugating enzyme/RWD-like domain containing protein,GO:0005829,cytosol,107275855,single organism process,4.284311765
Os01g0126000,Hypothetical gene,,,4329810,single organism process,1.566797134
Os01g0126100,Multicopper oxidas,GO:0005507,copper ion binding,4329809,single organism process,2.20815339
Os01g0126200,Multicopper oxidas,GO:0005507,copper ion binding,4339238,single organism process,2.365054264
